Igra,Dodatki
Codenames,"['Brettspiel Adventskalender 2018', 'Codenames: Bonuskaarten 2018', 'Codenames: Cartes promo – Univers Geek', 'Tajniacy: Obcy Agenci', 'Codenames: Bonus Pack – Board Gaming (English)', 'Fedőnevek: Magyar bónusz csomag', 'Tajniacy: Nowi Agenci', 'Tajniacy: Sami Nieswoi', 'Codenames: Authors & Games', 'Codenames: Bonus Pack – Board Gaming (German)']"
Clank!: A Deck-Building Adventure,"['Clank! Legacy: Acquisitions Incorporated – Upper Management Pack', 'Clank! Expeditions: Gold and Silk', 'Clank!: Expedition Leader', ""Clank!: The Mummy's Curse"", 'Clank!: Wand of Time', 'Brettspiel Adventskalender 2017', 'Clank!: Brawn vs. Boots', 'Clank!: Enchanted Dice', 'Clank!: Friendly Watcher', 'Clank!: Magic Spectacles']"
Dominion: Intrigue,"['Dominion: Renaissance', 'Dominion: Dismantle Promo Card', 'Dominion: Erweiterung – Basisspiel & Die Intrige', 'Dominion: Nocturne', ""Pirate's Life (Fan Expansion to Dominion)"", 'Dominion: Empires', 'Dominion: Höflinge Promo Card', 'Dominion: Intrigue Update Pack', 'Dominion: Sauna / Avanto Promo Card', 'Dominion: Adventures']"
Patchwork,"['Patchwork: Automa', 'Patchwork: 5x5 Bonuskarte', 'Special Buttons (fan-expansion for Patchwork)']"
The Gallerist,"['The Gallerist: Scoring Expansion', 'The Gallerist: KS Stretch Goal Pack #2']"
Mombasa,"['Deutscher Spielepreis 2016 Goodie Box', 'Mombasa: Cooked Books Mini Expansion', 'Mombasa: E1/E2 Company Track']"
Battlestar Galactica: The Board Game,"['Battlestar Galactica: The Board Game – Daybreak Expansion', 'Battlestar Galactica: The Board Game – Exodus Expansion', 'Battlestar Galactica: The Board Game – Pegasus Expansion', 'Battlestar Galactica: Official Variant Rules']"
Roll for the Galaxy,"['Roll for the Galaxy: Rivalry', 'Roll for the Galaxy: Bountiful Gaming Grid Promo Tile', 'Roll for the Galaxy: Terraforming Colony/Diversified Economy Promo Tile', 'Roll for the Galaxy: Ambition']"
Troyes,"['Troyes: The Ladies of Troyes', 'Troyes: Bonus Cards']"
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,"['Sherlock Holmes Consulting Detective: Murder Behind Closed Doors', ""Sherlock Holmes Détective Conseil: L'Homme Sans Visage"", 'Sherlock Holmes Détective Conseil: Les Masques Africains', ""L'affaire Diavolo (Fan expansion for Sherlock Holmes Détective Conseil)"", ""Sherlock Holmes Consulente Investigativo: Il Mistero dell'Impiccato"", 'Sherlock Holmes Détective Conseil: La Piste Tordue', 'Sherlock Holmes Détective Conseil: La rançon du diable', 'Sherlock Holmes Détective Conseil: Octobre 1891', 'Sherlock Holmes Détective Conseil: Oliver Stone', 'Sherlock Holmes Consulting Detective: Adventures by Gaslight']"
T.I.M.E Stories,"['Antic (fan expansion for T.I.M.E Stories)', 'T.I.M.E Stories: Madame', 'T.I.M.E. Stories Revolution: The Hadal Project', 'La Cavale des Daltons (fan expansion for T.I.M.E Stories)', 'City of Souls (fan expansion for T.I.M.E Stories)', 'Dilemma (fan expansion for T.I.M.E Stories)', 'Dreamland (fan expansion for T.I.M.E Stories)', 'Geologists (fan expansion for T.I.M.E Stories)', 'Hora fugit facta manent (fan expansion for T.I.M.E. Stories)', 'La manufacture Lilienfeld (fan expansion for T.I.M.E Stories)']"
Russian Railroads,"['Russian Railroads: Juri Dreigleisky', 'Russian Railroads: American Railroads', 'Russian Railroads: German Railroads', 'Russian Railroads: Mini-Expansion']"
Tigris & Euphrates,['Euphrat & Tigris: Die Zikkurat']
Trajan,[]
Star Wars: X-Wing Miniatures Game,"[""Star Wars: X-Wing Miniatures Game – Saw's Renegades Expansion Pack"", 'Star Wars: X-Wing Miniatures Game – TIE Reaper Expansion Pack', 'Star Wars: X-Wing Miniatures Game – Alpha-Class Star Wing Expansion Pack', 'Star Wars: X-Wing Miniatures Game – Auzituck Gunship Expansion Pack', 'Star Wars: X-Wing Miniatures Game – C-ROC Cruiser Expansion Pack', 'Star Wars: X-Wing Miniatures Game – Guns for Hire Expansion Pack', 'Star Wars: X-Wing Miniatures Game – M12-L Kimogila Fighter Expansion Pack', 'Star Wars: X-Wing Miniatures Game – Phantom II Expansion Pack', 'Star Wars: X-Wing Miniatures Game – Resistance Bomber Expansion Pack', 'Star Wars: X-Wing Miniatures Game – Scurrg H-6 Bomber Expansion Pack']"
Pandemic,"['Pandemic: Gen Con 2016 Promos – Z-Force Team Member/Game Convention', 'Pandemic: Survival Promos – Crisis Mitigator/Relocation Specialist', 'Pandemic: Promo Roles', 'Pandemic: State of Emergency', 'Pandemic: In the Lab', 'Pandemic: On the Brink', 'Pandemie: Uitbreiding ""De Generalist""']"
Dominion,"['Dominion: Renaissance', 'Dominion: Dismantle Promo Card', 'Dominion: Erweiterung – Basisspiel & Die Intrige', 'Dominion: Nocturne', ""Pirate's Life (Fan Expansion to Dominion)"", 'Animals expansion (mini fan expansion for Dominion)', 'Dominion: Empires', 'Dominion: Höflinge Promo Card', 'Dominion: Intrigue (Second Edition)', 'Dominion: Intrigue Update Pack']"
