Game,Designers,Artists,Publisher
The 7th Continent: BGG Promo Cards,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
The 7th Continent: Facing the Elements,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
The 7th Continent: Fear the Devourers,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
The 7th Continent: Path of Repentance,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
The 7th Continent: Swamp of Madness,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],Serious Poulp
The 7th Continent: The Forbidden Sanctuary,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],(Self-Published)
The 7th Continent: The Icy Maze,"['Ludovic Roudy', 'Bruno Sautter']",['Ludovic Roudy'],(Self-Published)
Viticulture: Visit from the Rhine Valley,"['Tido Lorenz', 'Jamey Stegmaier']",['Beth Sobel'],Stonemaier Games
Tuscany Essential Edition,"['Jamey Stegmaier', 'Alan Stone']",['Beth Sobel'],Feuerland Spiele
Viticulture: Moor Visitors Expansion,"['Uwe Rosenberg', 'Jamey Stegmaier', 'Alan Stone']","['Uwe Rosenberg', 'Beth Sobel']",Feuerland Spiele
Viticulture: Arboriculture Expansion,"['Jamey Stegmaier', 'Alan Stone']","['David Montgomery', 'Beth Sobel']",Stonemaier Games
Viticulture: Kickstarter Promotional Cards,"['Jamey Stegmaier', 'Alan Stone']",['David Montgomery'],Stonemaier Games
Arkham Horror: The Card Game – Before the Black Throne: Mythos Pack,[],[],Fantasy Flight Games
Arkham Horror: The Card Game – For the Greater Good: Mythos Pack,[],[],Fantasy Flight Games
Arkham Horror: The Card Game – In The Clutches of Chaos: Mythos Pack,[],[],Asmodee
Arkham Horror: The Card Game – Return to the Path to Carcosa,[],[],Fantasy Flight Games
Arkham Horror: The Card Game – The Circle Undone: Expansion,[],[],Fantasy Flight Games
Arkham Horror: The Card Game – The Secret Name: Mythos Pack,[],[],Asmodee
Arkham Horror: The Card Game – The Wages of Sin: Mythos Pack,[],[],Fantasy Flight Games
Arkham Horror: The Card Game – Union and Disillusion: Mythos Pack,[],[],Asmodee
Arkham Horror: The Card Game – Beta Cards from Arkham Night 2018,[],[],Fantasy Flight Games
Arkham Horror: The Card Game – Black Stars Rise: Mythos Pack,"['Nate French', 'Matthew Newman']",[],Asterion Press
Puerto Rico: Expansions 1&2 – The New Buildings & The Nobles,['Andreas Seyfarth'],['Franz Vohwinkel'],Rio Grande Games
Puerto Rico: Expansion II – The Nobles,['Andreas Seyfarth'],[],alea
Treasure Chest,"['Rüdiger Dorn', 'Stefan Feld', 'Andreas Pelikan', 'Andreas Seyfarth']",[],alea
Haiti (fan expansion for Puerto Rico),['Mike Young'],[],(Web published)
Puerto Rico: Expansion I – New Buildings,['Andreas Seyfarth'],['Franz Vohwinkel'],alea
Brass: 2-player board,['Martin Wallace'],"['Peter Dennis', 'Michael Schacht']",(Web published)
Catalonia (fan expansion for Brass),['Jordi Ferrer'],[],(Web published)
Caverna: The Forgotten Folk,"['Uwe Rosenberg', 'Alex Wilber']","['Javier González Cava', 'Klemens Franz', 'Uwe Rosenberg', 'Alex Wilber']",Lookout Games
Caverna: The Forgotten Folk – Adventurers Promo,"['Klemens Franz', 'Grzegorz Kobiela', 'Alex Wilber']","['Javier González Cava', 'Klemens Franz']",Lookout Games
Caverna: The Forgotten Folk – Halflings promo,"['Uwe Rosenberg', 'Alex Wilber']","['Javier González Cava', 'Klemens Franz']",Lookout Games
Caverna: Water Expansion,['James Butler'],['Klemens Franz'],999 Games
Caverna: Christmas Chamber,['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
Caverna: LARP and Cosplay Postcard,['Hanno Girke'],['Klemens Franz'],Lookout Games
Caverna: Mini Expansion,['(Uncredited)'],['Klemens Franz'],999 Games
Mage Knight Board Game: Dual Color Cards Expansion,['Vlaada Chvátil'],[],WizKids
Mage Knight Board Game: Shades of Tezla Expansion,"['Paul Grogan', 'Phil Pettifer']",[],Asmodee
Mage Knight Board Game: Krang Character Expansion,"['Paul Grogan', 'Phil Pettifer']",[],WizKids
Mage Knight Board Game: The Lost Legion Expansion,['Vlaada Chvátil'],"['J. Lonnee', 'Milan Vavroň']",WizKids
Agricola: Changelings,"['Klemens Franz', 'Hanno Girke', 'Uwe Rosenberg']",['Javier González Cava'],Lookout Games
Agricola: Glon­na­cker,[],[],Lookout Games
Agricola: France Deck,"['Chris Deotte', 'Play-Agricola.com Users', 'Uwe Rosenberg']",['Klemens Franz'],Filosofia Éditions
Agricola: Bielefeld Deck,"['Uwe Rosenberg', 'Michael Speckmann']",['Klemens Franz'],Lookout Games
Agricola: Belgium Deck,['Uwe Rosenberg'],['Klemens Franz'],Filosofia Éditions
Agricola: Brakelhühner Promo Card,['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
Agricola: De Lage Landen,"['David Fair', 'Hanno Girke', 'John Kennard', 'Larry Levy']",['Klemens Franz'],999 Games
Agricola: Pi-Deck,"['Chris Deotte', 'Ira Fay', 'Play-Agricola.com Users', 'Uwe Rosenberg']",['Klemens Franz'],Lookout Games
Agricola Ereigniskarten,['Uwe Rosenberg'],['Klemens Franz'],Lookout Games
Agricola: NL-Deck,['Uwe Rosenberg'],"['Pieter de Hooch', 'Klemens Franz', 'Hieronymous', 'Vincent van Gogh']",Lookout Games
Orléans: 5th Player Box,['Reiner Stockhausen'],['Klemens Franz'],dlp games
Orléans: L'évêché de Tours,['Reiner Stockhausen'],['Klemens Franz'],Matagot
Orléans: Promo Ortskarten N°2,['Reiner Stockhausen'],[],dlp games
Orléans: Drawbridge,['Reiner Stockhausen'],['Klemens Franz'],White Goblin Games
Orléans: Neue Ortskarten N°5,['Reiner Stockhausen'],['Klemens Franz'],dlp games
Orléans: Opera,[],[],Cranio Creations
Orléans: Promo Ortskarten N°1,['Reiner Stockhausen'],['Klemens Franz'],dlp games
Orléans: Neue Ortskarten N°4,['Reiner Stockhausen'],['Klemens Franz'],dlp games
Orléans: Prairie,['Reiner Stockhausen'],[],Tasty Minstrel Games
Orléans: Trade & Intrigue,['Reiner Stockhausen'],['Klemens Franz'],Arrakis Games
